Pet Species,Breed,Age (years),Weight (kg),Past Diagnosis,Symptoms,Treatment,Future Disease
Cat,Philippine Shorthair (Puspin),5.6,3.6,Stomatitis,"Bad Breath, Drooling","Anti-inflammatory Medication, Steroids",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),5.2,1.2,Ulcerative Mouth Lesions,"Ulcers, Drooling","Supportive Care, Pain Relief Medication",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),1.2,5.5,Ulcerative Mouth Lesions,"Loss of Appetite, Ulcers","Pain Relief Medication, Supportive Care",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),6.9,1.1,Feline Herpesvirus (FHV),"Fever, Eye Sores","Antiviral Medication, Supportive Care",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),4.9,4.5,Respiratory Infection,"Sneezing, Nasal Discharge","Supportive Care, Humidifier Therapy",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),9.9,5.0,Conjunctivitis,"Red Eyes, Eye Discharge","Eye Drops, Antiviral Medication",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),4.8,1.1,Conjunctivitis,"Eye Discharge, Red Eyes","Eye Drops, Cleaning Discharge",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),7.4,3.4,Stomatitis,"Drooling, Bad Breath","Anti-inflammatory Medication, Dental Cleaning",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),4.7,2.9,Conjunctivitis,"Eye Discharge, Red Eyes","Eye Drops, Antiviral Medication",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),2.5,3.9,Stomatitis,"Drooling, Difficulty Eating","Dental Cleaning, Steroids",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),5.0,5.7,Feline Herpesvirus (FHV),"Loss of Appetite, Eye Sores","Supportive Care, Antiviral Medication",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),0.2,4.0,Ulcerative Mouth Lesions,"Ulcers, Loss of Appetite","Pain Relief Medication, Supportive Care",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),11.2,5.8,Ulcerative Mouth Lesions,"Loss of Appetite, Drooling","Supportive Care, Pain Relief Medication",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),8.5,4.2,Ulcerative Mouth Lesions,"Drooling, Loss of Appetite","Pain Relief Medication, Supportive Care",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),8.8,1.4,Respiratory Infection,"Coughing, Sneezing","Humidifier Therapy, Supportive Care",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),13.1,1.7,Ulcerative Mouth Lesions,"Drooling, Loss of Appetite","Supportive Care, Pain Relief Medication",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),8.2,2.9,Conjunctivitis,"Red Eyes, Eye Discharge","Antiviral Medication, Eye Drops",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),7.3,3.1,Respiratory Infection,"Coughing, Sneezing","Humidifier Therapy, Supportive Care",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),1.9,4.8,Ulcerative Mouth Lesions,"Loss of Appetite, Drooling","Supportive Care, Pain Relief Medication",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),12.8,4.2,Conjunctivitis,"Swollen Eyelids, Eye Discharge","Antiviral Medication, Eye Drops",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),1.6,1.6,Conjunctivitis,"Eye Discharge, Swollen Eyelids","Cleaning Discharge, Eye Drops",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),6.5,1.2,Stomatitis,"Bad Breath, Drooling","Dental Cleaning, Steroids",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),5.2,5.3,Gingivitis,"Swollen Gums, Pain While Eating","Oral Rinse, Dental Care",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),7.4,3.5,Ulcerative Mouth Lesions,"Loss of Appetite, Ulcers","Pain Relief Medication, Supportive Care",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),9.6,2.3,Feline Herpesvirus (FHV),"Eye Sores, Loss of Appetite","Antiviral Medication, Supportive Care",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),4.8,5.9,Feline Herpesvirus (FHV),"Fever, Eye Sores","Antiviral Medication, Supportive Care",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),8.8,3.0,Feline Herpesvirus (FHV),"Eye Sores, Loss of Appetite","Antiviral Medication, Supportive Care",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),3.5,3.1,Gingivitis,"Swollen Gums, Pain While Eating","Dental Care, Antibiotics",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),13.0,3.5,Gingivitis,"Bleeding Gums, Swollen Gums","Antibiotics, Dental Care",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),14.5,3.8,Ulcerative Mouth Lesions,"Loss of Appetite, Ulcers","Supportive Care, Pain Relief Medication",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),1.9,2.5,Gingivitis,"Bleeding Gums, Pain While Eating","Antibiotics, Oral Rinse",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),13.4,2.1,Gingivitis,"Swollen Gums, Bleeding Gums","Antibiotics, Dental Care",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),5.1,3.6,Gingivitis,"Swollen Gums, Pain While Eating","Antibiotics, Dental Care",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),3.2,4.7,Stomatitis,"Difficulty Eating, Drooling","Steroids, Dental Cleaning",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),3.8,4.8,Gingivitis,"Swollen Gums, Bleeding Gums","Oral Rinse, Dental Care",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),5.3,4.7,Stomatitis,"Bad Breath, Drooling","Steroids, Dental Cleaning",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),5.9,1.9,Stomatitis,"Difficulty Eating, Bad Breath","Dental Cleaning, Anti-inflammatory Medication",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),5.1,3.4,Respiratory Infection,"Sneezing, Coughing","Humidifier Therapy, Supportive Care",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),9.3,3.9,Gingivitis,"Pain While Eating, Bleeding Gums","Dental Care, Oral Rinse",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),7.6,1.1,Respiratory Infection,"Sneezing, Coughing","Humidifier Therapy, Supportive Care",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),4.3,3.9,Gingivitis,"Pain While Eating, Bleeding Gums","Dental Care, Oral Rinse",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),1.3,5.6,Conjunctivitis,"Swollen Eyelids, Red Eyes","Eye Drops, Cleaning Discharge",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),7.4,4.7,Conjunctivitis,"Eye Discharge, Swollen Eyelids","Antiviral Medication, Eye Drops",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),3.7,2.5,Respiratory Infection,"Nasal Discharge, Coughing","Humidifier Therapy, Antibiotics",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),0.4,2.6,Ulcerative Mouth Lesions,"Loss of Appetite, Drooling","Pain Relief Medication, Supportive Care",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),6.2,5.2,Gingivitis,"Bleeding Gums, Pain While Eating","Antibiotics, Oral Rinse",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),7.7,2.4,Conjunctivitis,"Red Eyes, Eye Discharge","Antiviral Medication, Eye Drops",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),0.9,1.2,Ulcerative Mouth Lesions,"Drooling, Ulcers","Supportive Care, Pain Relief Medication",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),4.5,1.1,Respiratory Infection,"Coughing, Nasal Discharge","Antibiotics, Supportive Care",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),11.6,4.3,Respiratory Infection,"Nasal Discharge, Sneezing","Antibiotics, Supportive Care",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),5.6,1.6,Gingivitis,"Bleeding Gums, Pain While Eating","Oral Rinse, Dental Care",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),4.1,1.1,Feline Herpesvirus (FHV),"Eye Sores, Loss of Appetite","Antiviral Medication, Supportive Care",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),11.2,5.4,Ulcerative Mouth Lesions,"Ulcers, Loss of Appetite","Pain Relief Medication, Supportive Care",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),13.3,4.5,Conjunctivitis,"Eye Discharge, Red Eyes","Cleaning Discharge, Antiviral Medication",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),0.5,1.9,Stomatitis,"Drooling, Bad Breath","Anti-inflammatory Medication, Steroids",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),7.5,2.5,Gingivitis,"Bleeding Gums, Pain While Eating","Oral Rinse, Dental Care",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),0.8,1.7,Conjunctivitis,"Eye Discharge, Swollen Eyelids","Antiviral Medication, Cleaning Discharge",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),8.3,3.8,Feline Herpesvirus (FHV),"Eye Sores, Fever","Antiviral Medication, Supportive Care",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),14.0,4.5,Stomatitis,"Difficulty Eating, Bad Breath","Anti-inflammatory Medication, Steroids",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),13.3,4.3,Respiratory Infection,"Sneezing, Nasal Discharge","Supportive Care, Humidifier Therapy",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),14.4,4.0,Feline Herpesvirus (FHV),"Loss of Appetite, Fever","Antiviral Medication, Supportive Care",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),13.3,2.8,Stomatitis,"Difficulty Eating, Drooling","Dental Cleaning, Steroids",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),13.2,1.9,Conjunctivitis,"Red Eyes, Eye Discharge","Antiviral Medication, Eye Drops",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),3.1,1.1,Gingivitis,"Bleeding Gums, Swollen Gums","Oral Rinse, Antibiotics",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),2.5,5.3,Gingivitis,"Bleeding Gums, Swollen Gums","Antibiotics, Oral Rinse",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),3.8,6.0,Stomatitis,"Drooling, Bad Breath","Dental Cleaning, Anti-inflammatory Medication",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),2.2,5.5,Respiratory Infection,"Sneezing, Nasal Discharge","Antibiotics, Supportive Care",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),6.5,1.6,Respiratory Infection,"Sneezing, Nasal Discharge","Humidifier Therapy, Supportive Care",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),1.4,3.3,Conjunctivitis,"Eye Discharge, Swollen Eyelids","Eye Drops, Antiviral Medication",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),8.3,4.7,Stomatitis,"Difficulty Eating, Bad Breath","Anti-inflammatory Medication, Dental Cleaning",Feline Calicivirus (FCV)
Cat,Philippine Shorthair (Puspin),10.2,2.2,Conjunctivitis,"Swollen Eyelids, Red Eyes","Antiviral Medication, Cleaning Discharge",Feline Calicivirus (FCV)
